PLAYER_ID,FIRST_NAME,LAST_NAME,SUFFIX,EMAIL_ADDR,PASSWORD,GENDER,DATE_OF_BIRTH,ADDR_LINE1,ADDR_LINE2,CITY,REGION,POST_CODE,CITIZENSHIP,PRIMARY_PHONE,MOBILE_PHONE,SECURITY_QUESTION1,SECURITY_ANSWER1,SECURITY_QUESTION2,SECURITY_ANSWER2,CREATION_DATE,UPDATE_DATE,PLAYER_LOCK_EXPIRE_TIMESTAMP,LAST_LOGIN,LAST_LOGOUT,STATE,COUPON,WINNING_NUMBERS,JACKPOT,NEWSLETTER,WIN_AND_PAYMENT_SYSTEM,SSN4,NEW,REGISTRATION_GAME_CLIENT,WINNING,DEPOSIT,BONUS,DAY_LIMIT,WEEK_LIMIT,MONTH_LIMIT,SPENT_LIMIT,REGISTRATION_LEVEL
91,David,Kinsinger,,david@kinsinger.net,pqH48H+9qXn23JeBjbtPE6OU9MoGfzDJT2FXC4XYkb8cKT/nZwdrtinrzTjw4Q==,Unspecified,1954-01-01,"789 Street Name",,Kennesaw,GA,30144,Non-Resident,+1 7777778888,,,,,,"2012-10-06 08:05:00.000000","2019-07-02 17:51:34.000000",,2018-08-13 13:12:08.857000,2018-08-13 10:25:20.409000,Active,0,0,0,0,0,4645,1,Site 36 Internet Portal,0,0,0,,,,,2
669218,Marlene,Cohn,,marlenecohn@yahoo.com,RUi94P/L5XJO2kNBzzgEaeWpSbBY9q5T0RkLf9Xbx+MEACBMiiGBZLkZc2U1nA==,Unspecified,1975-02-17,"1200 Ashwood Pkwy","Suite 135",Atlanta,GA,30338,Resident,+1 5555555555,,,,,,"2012-10-06 11:48:57.000000","2019-07-02 17:51:34.000000",,2013-11-25 11:00:44.455000,2013-11-25 11:02:29.661000,Active,0,0,0,0,0,,1,Site 36 Lottery GMS,0,0,0,,,,,5
1077267,Jb,Landroche,,jlandroche@galottery.org,vIuo0UHhCn1E0LNLqwdb2Ent4bLKiLNwtRErnVSp2k5egrvUmEUudQcTgzTd9Q==,Male,1969-05-16,"250 Williams Street",,Atlanta,GA,30303,Resident,,,What is your father's middle name?,"Woodrow",In what city were you born?,"Newport","2012-10-06 12:01:37.000000","2019-07-02 17:51:34.000000",,2015-10-21 17:19:49.917000,,Active,0,0,0,0,0,,1,Site 36 Lottery GMS,0,0,0,,,,,5
1435760,Teri ,Rosa,,trosa@galottery.org,FvcBjC6sUjGrXmHmQlzGcbHeiKfMBo4mBeK6Lbzpf52soCHVJwt1gk/H7Q1tTA==,Female,1957-06-06,"304 Grovewood Lane ",,Peachtree City ,GA,30269,Resident,,,What is your father's middle name?,"Joe",In what city were you born?,"Panama City","2012-10-06 12:01:36.000000","2019-07-02 17:51:34.000000",,2015-11-19 10:26:16.061000,,Active,0,0,0,0,0,,1,Site 36 Lottery GMS,0,0,0,,,,,5
12000140,Marlene,Cohn,,mcohntweet01@galottery.org,9549415B272CFA47E8445D0ACD67250E,Unspecified,1969-12-31,"250 Williams Street",,Atlanta,GA,30303,Resident,+1 4042158920,,,,,,"2012-10-06 12:01:36.000000","2019-07-02 17:51:34.000000",,,,Active,0,0,0,0,0,,1,Site 36 Lottery GMS,0,0,0,,,,,5
12000193,Lauren,Mullins,,laurenglc@gmail.com,BSMjQLquJfBTINuTbVl/qXL/3Pnj8jshPGkWvT4R883sMcTLdSAEo1WPGrlCEA==,Unspecified,1969-12-31,"789 Williams St",,Atlanta,GA,30005,Resident,+1 4042155000,,What was the name of your first school teacher?,"teacher",What is your father's middle name?,"middle","2012-10-06 12:01:42.000000","2019-07-02 17:51:34.000000",,2012-11-06 11:56:11.866000,2012-11-06 12:23:45.883000,Active,0,0,0,0,0,6585,1,Site 36 Lottery GMS,0,0,0,,,,,2
12000195,Marlene,Cohn,,mcohntweet12@galottery.org,EDCBtna6I0X8hPc3V7YBye4MXcAwzgmsVa6rluKyosXPB9yXR3Ln8YGxDe7y5g==,Unspecified,1933-05-15,"789 Williams",,Atlanta,GA,30005,Resident,+1 4042158920,,What was the make of your first car?,"car",In what city were you born?,"born","2012-10-06 12:01:42.000000","2019-07-02 17:51:34.000000",,2014-03-26 11:50:58.357000,2014-03-26 11:55:07.942000,Active,0,0,0,0,0,7459,1,Site 36 Lottery GMS,0,0,0,,,,,5
12000206,Lauren,Mullins,,laurenmmullins@gmail.com,yA/5aZsnHnqepb3QVLH1CDJE2YhB9loKe+4+Ao86pdqneVZVDYSdwFMiTVeDFg==,Unspecified,1956-10-01,"789 Williams",,Atl,GA,30005,Resident,+1 4042155000,,What was the make of your first car?,"car",In what city were you born?,"born","2012-10-06 12:01:42.000000","2019-07-02 17:51:34.000000",,2016-02-16 11:56:44.468000,2016-02-16 12:12:04.486000,Active,0,0,0,0,0,4567,1,Site 36 Lottery GMS,0,0,0,,,,,5
12000207,Lauren,Mullins,,laurenmmullins@att.net,dmc644uMVjyE2FnjfJp9ixWm7kEM4RBpQcUHLJ/9TdgHOflTfXLGRLCBmXolVA==,Unspecified,1987-10-05,"789 Williams",,Atlanta,GA,30005,Resident,+1 4042155039,,What was the make of your first car?,"car",In what city were you born?,"city","2012-10-06 12:01:42.000000","2019-07-02 17:51:34.000000",,2013-02-08 15:50:17.311000,2013-02-08 15:54:54.310000,Active,0,0,0,0,0,4582,1,Site 36 Lottery GMS,250,500,18,,,,,2
12000224,Marlene,Cohn,,mcohntweet16@galottery.org,y6uIj3etAt/fo8SqasE5ggWcilHxL58+nyGQLkPXTsHr2B/EPwCBjrBAMx/wPg==,Unspecified,1993-10-31,"789 Taylors Ct.",,Marietta,GA,30005,Resident,+1 7705943198,,What was the name of your first school teacher?,"bill",In what city were you born?,"miami","2012-10-06 12:01:43.000000","2019-07-02 17:51:34.000000",,2013-10-23 12:01:30.945000,2013-08-15 16:27:03.607000,Active,0,0,0,0,0,2369,1,Site 36 Lottery GMS,0,0,0,,,,,2
12000229,Tina,Cooley,,qatest54@galottery.org,TAaz4zzRCJW1cFhmgm4ki5zECfv+1e/tgwzpzoVs6FpRkqGKgRGEHiaoNUMfxQ==,Unspecified,1967-05-15,"78 9 Walker Ave.",,Michigan,GA,30005,Resident,+1 3788377837,,What is your favorite song?,"stairway to heaven",In what city were you born?,"atlanta","2012-10-06 12:01:42.000000","2019-07-02 17:51:34.000000",,2014-04-21 13:18:18.649000,2014-04-21 13:34:17.220000,Active,0,0,0,0,1,9754,1,Site 36 Lottery GMS,0,0,0,,,,,2
12000237,Marlene,Cohn,,mcohntweet14@galottery.org,j5z7LiW3GcyKLxDU6cFvL8NZv2O3tOKwfcMMmQOIIHfxvm8SXWd7U8dVMzjkww==,Unspecified,1984-02-29,"789 Williams Street",,Savannah,GA,30005,Resident,+1 7065551212,,,,,,"2012-10-06 12:01:43.000000","2019-07-02 17:51:34.000000",,2014-07-24 14:47:12.903000,2014-07-24 15:02:49.619000,Active,0,0,0,0,0,4874,1,Site 36 Lottery GMS,0,0,0,,,,,2
12000312,Gregory,Simpson,,gsimpson125@gmail.com,/5bzZRlsTuBWse7QjKQXEU6/W1MJJ/PLW8oZnv3g67dUhK52yvAG5C1sVOrjxw==,Unspecified,1982-05-25,"3004 Wingate Way",,Atlanta,GA,30350,Resident,+1 4042227800,+1 4042227883,What is your father's middle name?,"alex",In what city were you born?,"ny","2012-10-17 12:28:58.000000","2019-07-02 17:51:34.000000",,2016-02-22 18:24:47.329000,2016-02-22 18:43:25.078000,Active,0,0,0,0,1,,1,Site 36 Internet Portal,0,0,0,,,,,5
12000377,Adina,Eisenmenger,,qatest37@galottery.org,t1QXlUVTH+MjQ4ihhRUilvKizgMj9AajZU7K87liIZW005dU4teXSrAhlKi3wA==,Unspecified,1973-06-16,"78 9 Rainbow Cir",,Decatur,GA,30005,Resident,+1 5424656985,,What was the name of your first school teacher?,"teacher",In what city were you born?,"born","2012-10-29 09:59:27.000000","2019-07-02 17:51:34.000000",,2014-04-07 09:40:45.605000,2014-04-07 09:40:52.059000,Active,0,0,0,0,1,,1,Site 36 Internet Portal,0,0,0,,,,,5
12000393,David,GTECH,,david.kinsinger@gtech.com,DJO4lDj1VeG9eGhftaAzmIZ5LVUqhjjkqdfmxcSbMlq8DfQtDmFq3NGKvz3mkg==,Unspecified,1952-01-01,"789 Street",,City,GA,30005,Resident,+1 8888888888,,What was the make of your first car?,"car",In what city were you born?,"city","2012-10-29 13:44:06.000000","2019-07-02 17:51:34.000000",,,,Active,0,0,0,0,1,,1,Site 36 Internet Portal,0,0,0,,,,,5
12002268,LaToya,Muff,,latoya.muff@gtech.com,eudILSO6dk1KE+Ze8hcNpFWSMkiRuy8GYwkjJXrmkJccv2MpHZ0GUBOod0fYTQ==,Unspecified,1940-12-18,"78 9 Gtech","3400",Atlanta,GA,30005,Resident,+1 6783575266,,What was the name of your first school teacher?,"carter",In what city were you born?,"americus","2012-11-01 16:16:15.000000","2019-07-02 17:51:34.000000",,2013-11-14 17:05:52.810000,2013-11-14 17:21:07.307000,Active,0,0,0,0,1,1231,1,Site 36 Internet Portal,0,0,0,,,,,2
12002330,Tina,Mcgillicuddy,,tina.does.interweb@gmail.com,3CoDeRHnT55YDMTMLXmUsLsNKv9+5PmiMfcE4Gw/1ut5V8lV1DxYtqq+SdxXmg==,Unspecified,1975-02-20,"123 Cool Street",,East Cooltown,GA,30005,Resident,+1 4045555555,,What was the make of your first car?,"car",In what city were you born?,"city","2012-11-13 16:06:02.000000","2020-04-02 16:24:31.000000",,2020-04-02 16:24:31.742000,2020-04-02 16:24:36.822000,Active,0,0,0,0,1,,1,Site 36 Internet Portal,0,0,0,,,,,5
12002331,Tina,Coolatta,,tina.desormier@gmail.com,XR2XZhV7WMbMjJt3k5t4xrrABsPAVH/abkUuBnfclOjzBH482rMjZ4JbrlOxNQ==,Unspecified,1977-01-15,"123 No Way",,West Cooltown,GA,30005,Resident,+1 4048597598,+1 4457344903,What was the make of your first car?,"car",In what city were you born?,"city","2012-11-13 16:54:56.000000","2020-04-02 15:20:54.000000",,2020-04-02 15:20:49.405000,2020-04-02 15:35:56.681000,Active,0,0,0,0,1,2452,1,Site 36 Internet Portal,0,0,0,,,,,2
